goal,goal_name,target,series_label,wb_code,unit,better,target2030
1,No Poverty,1.1,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,%,down,0
1,No Poverty,1.2,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,%,down,
1,No Poverty,1.2,Gini index (World Bank estimate),SI.POV.GINI,,down,
1,No Poverty,1.2,Income share held by lowest 20%,SI.DST.FRST.20,%,up,
1,No Poverty,1.2,Income share held by highest 10%,SI.DST.10TH.10,%,down,
2,Zero Hunger,2.1,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,%,down,
2,Zero Hunger,2.2,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,%,down,
2,Zero Hunger,2.2,"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,%,down,
2,Zero Hunger,2.2,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,%,down,
2,Zero Hunger,2.3,Cereal yield (kg per hectare),AG.YLD.CREL.KG,kg/ha,up,
3,Good Health & Well-Being,3.1,"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,,down,70
3,Good Health & Well-Being,3.2,"Infant mortality rate (per 1,000 live births)",SP.DYN.IMRT.IN,,down,
3,Good Health & Well-Being,3.2,"Under-5 mortality rate (per 1,000 live births)",SH.DYN.MORT,,down,
3,Good Health & Well-Being,3.8,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,%,up,
3,Good Health & Well-Being,3.c,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,,up,
3,Good Health & Well-Being,3.d,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,up,
4,Quality Education,4.1,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,%,up,100
4,Quality Education,4.1,Primary school net enrollment (% of primary school age),SE.PRM.NENR,%,up,100
4,Quality Education,4.1,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,%,up,100
4,Quality Education,4.3,"Tertiary education, gross enrollment ratio (%)",SE.TER.ENRR,%,up,
4,Quality Education,4.5,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,up,
5,Gender Equality,5.1,Women Business and the Law index (0-100),SG.LAW.INDX,,up,
5,Gender Equality,5.5,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,%,up,
5,Gender Equality,5.5,"Labor force participation rate, female (% ages 15+)",SL.TLF.CACT.FE.ZS,%,up,
5,Gender Equality,5.6,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,down,
6,Clean Water & Sanitation,6.1,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,%,up,100
6,Clean Water & Sanitation,6.2,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,%,up,100
6,Clean Water & Sanitation,6.1,Access to improved water source (% of population),SH.H2O.SAFE.ZS,%,up,
